LINHA,OPERACAO,MES_REFERENCIA,STE_CODIGO,ORI_CODIGO,PRD_CODIGO,PERFIL_ACAO,DIA_CLIENTE,DIA_PRODUTO,DIA_SITE,DIA_PERFIL,MES,ANOMES,DIAS_UTEIS,JORNADA_SEMANAL,PA_CONTRATADA,PA_REAL,HC_ATIVO,HC_ESCALADO,HC_TRABALHO,HC_FERIAS,HC_ABS,MD_TP_DISPONIVEL,LIG_HC,VEN_HC,LIG_VENDA,TICKET_MEDIO,CONSOLIDADO_VENDA_REAL,SEMANA_1_LIG_HC,SEMANA_1_VEN_HC,SEMANA_1_LIG_VENDA,SEMANA_1_HC_TRABALHADO,SEMANA_1_VENDA_TOTAL,SEMANA_1_VENDA_DIA,SEMANA_2_LIG_HC,SEMANA_2_VEN_HC,SEMANA_2_LIG_VENDA,SEMANA_2_HC_TRABALHADO,SEMANA_2_VENDA_TOTAL,SEMANA_2_VENDA_DIA,SEMANA_3_LIG_HC,SEMANA_3_VEN_HC,SEMANA_3_LIG_VENDA,SEMANA_3_HC_TRABALHADO,SEMANA_3_VENDA_TOTAL,SEMANA_3_VENDA_DIA,SEMANA_4_LIG_HC,SEMANA_4_VEN_HC,SEMANA_4_LIG_VENDA,SEMANA_4_HC_TRABALHADO,SEMANA_4_VENDA_TOTAL,SEMANA_4_VENDA_DIA,SEMANA_5_LIG_HC,SEMANA_5_VEN_HC,SEMANA_5_LIG_VENDA,SEMANA_5_HC_TRABALHADO,SEMANA_5_VENDA_TOTAL,SEMANA_5_VENDA_DIA,ORDEM,ORDEM_2,ESPACO_HC,ESPACO_CS,ESPACO_1,ESPACO_2,ESPACO_3,ESPACO_4
21,Icatu Tricard - Capitalização,2021-10-01T00:00:00,4,48,73,1,Icatu Tricard,Capitalização,ZL,C,OUTUBRO,202110,20,,,65,78,78.15,65,9,4,0,160,3.3,48.6,45,4343,157,3.3,47.5,64,1066,213,150,3.2,47.3,68,866,217,153,3.6,43,66,1178,236,174,3.2,54.3,65,1050,210,185,2.9,64.6,64,183,183,8,1,0,0,0,0,0,0
22,Icatu Tricard - Capitalização,2021-11-01T00:00:00,4,48,73,1,Icatu Tricard,Capitalização,ZL,C,NOVEMBRO,202111,20,,,68,79,79.2,68,9,2.5,0,152,3,50,45,4146,159,3.5,45.1,64,899,225,142,2.9,49.9,69,986,197,154,3.2,47.7,70,903,226,150,2.9,50.9,69,1022,204,164,2.4,67.5,69,336,168,8,1,0,0,0,0,0,0
23,Icatu Tricard - Capitalização,2021-12-01T00:00:00,4,48,73,1,Icatu Tricard,Capitalização,ZL,C,DEZEMBRO,202112,21,,,68,75,74.61904761904762,68,4,3.5,0,144,3,47.5,45,4341,148,3.3,45,71,1179,236,151,2.5,60.8,69,863,173,129,3,43.7,68,1008,202,144,3.2,45,65,842,211,150,3.6,41.8,62,449,225,8,1,0,0,0,0,0,0
24,Icatu Tricard - Capitalização,2022-01-01T00:00:00,4,48,73,1,Icatu Tricard,Capitalização,ZL,C,JANEIRO - Parc,202201,6,,,53,66,65.83333333333333,53,5,12.3,0,137,4,34.4,44,1266,136,4.1,33,52,1087,217,142,3.3,43,54,179,179,,,,,,,,,,,,,,,,,,,8,1,0,0,0,0,0,0
25,Icatu Tricard - Capitalização,2022-01-01T00:00:00,4,48,73,1,Icatu Tricard,Capitalização,ZL,C,JANEIRO - Obj,202201,21,,64,,70,64.8,62,5,5,0,149,3.3,45.6,,4236,140,3.5,40,63,1103,221,150,2.9,52,62,894,179,150,3.6,42,61,1089,218,155,3.2,48,61,985,197,155,2.7,57,61,166,166,8,2,0,0,0,0,0,0
26,TIM Fiber - BL Novo,2021-10-01T00:00:00,4,56,36,1,TIM Fiber,BL Novo,ZL,C,OUTUBRO,202110,25,,11,10,12,11.8,10,1,1.1,0,64,1,60.8,0,268,65,1.2,54.4,11,81,14,53,0.9,56.3,9,44,9,66,0.9,75.1,9,52,9,72,1.2,59.3,11,77,13,54,0.8,66.6,8,14,7,9,1,0,0,0,0,0,0
27,TIM Fiber - BL Novo,2021-11-01T00:00:00,4,56,36,1,TIM Fiber,BL Novo,ZL,C,NOVEMBRO,202111,24,,11,10,14,13.54166666666667,10,1,2.7,0,90,1.1,78.1,0,260,144,1.1,129.7,7,43,9,122,1.2,102.1,8,60,10,58,1.1,53.5,12,66,13,50,1,48.1,11,68,11,60,0.8,78.1,15,23,12,9,1,0,0,0,0,0,0
28,TIM Fiber - BL Novo,2021-12-01T00:00:00,4,56,36,1,TIM Fiber,BL Novo,ZL,C,DEZEMBRO,202112,24,,11,14,18,17.58333333333333,14,2,3.9,0,60,0.9,66,0,307,47,0.6,75.5,14,56,9,66,1,61.6,15,92,15,69,0.9,79.6,14,76,13,60,1.1,56.2,13,56,14,50,1.1,43.1,12,27,14,9,1,0,0,0,0,0,0
29,TIM Fiber - BL Novo,2022-01-01T00:00:00,4,56,36,1,TIM Fiber,BL Novo,ZL,C,JANEIRO - Parc,202201,7,,11,9,14,14.28571428571429,9,1,15.4,0,61,1.1,54.8,0,73,56,1.2,46.2,9,56,11,74,0.9,83,9,17,9,,,,,,,,,,,,,,,,,,,9,1,0,0,0,0,0,0
30,TIM Fiber - BL Novo,2022-01-01T00:00:00,4,56,36,1,TIM Fiber,BL Novo,ZL,C,JANEIRO - Obj,202201,25,,6,,10,9.36,9,1,4,0,67,1.2,55.8,,268,65,1.3,52,9,56,11,65,1.2,54,9,65,11,65,1.1,58,9,61,10,70,1.2,58,9,65,11,70,1.2,58,9,22,11,9,2,0,0,0,0,0,0
31,TIM Fiber - BL Resgate,2021-10-01T00:00:00,4,56,82,1,TIM Fiber,BL Resgate,ZL,C,OUTUBRO,202110,25,,,14,19,18.72,14,3,3.5,0,33,3.3,10.1,0,1208,27,3.1,8.6,15,291,49,27,3.3,8.1,14,234,47,35,3.9,9,14,328,55,40,3.1,12.9,15,290,48,38,2.2,16.9,14,65,33,10,1,0,0,0,0,0,0
